상호명,사업자번호,소재지,일반창고면적(m²),냉동냉장창고면적(m²),창고면적(종합),관련법률,취급품목,위도,경도
B,1108105034,경상남도 창원시 의창구 북면 신촌본포로 315,4800,0,4800,물류시설법,경남도 재난관리 물품,35.3549223,128.6346919
B,1108105034,"경기도 군포시 번영로 82, 한국복합물류(주) 관리동 A동 3층 (부곡동)",2128.93,0,2128.93,물류시설법,화장품,37.3309195,126.9371945
B,1108105034,경기도 화성시 안녕남로 181 (안녕동),25765,0,25765,물류시설법,의약품,37.1981073,126.987072
B,1108105034,경상북도 상주시 외서면 북상주로 877,1879.75,0,1879.75,물류시설법,택배물품,36.4888476,128.1685874
B,1108105034,경기도 이천시 마장면 서이천로 288,39773,0,39773,물류시설법,"의류, 생활용품",37.262011,127.3855957
B,1108105034,"경기도 용인시 처인구 남사읍 형제로 26, 1층",0,8137.8,8137.8,물류시설법,"냉장, 냉동식품",37.1460296,127.160188
B,1108105034,경기도 안성시 양성면 양성로 478-24,16743.36,0,16743.36,물류시설법,택배상품,37.0947136,127.2126301
B,1108105034,"경기도 김포시 고촌읍 아라육로 37, 지하1층",9190,0,9190,물류시설법,택배물품,37.5914074,126.7950107
B,1108105034,강원특별자치도 강릉시 성산면 공제로 57-28,2952.65,0,2952.65,물류시설법,택배상품,37.7254033,128.8359288
B,1108105034,충청남도 서산시 남부순환로 15(수석동),1350.51,0,1350.51,물류시설법,"고객사 상품(쌀, 마스크, 고구마 외)",36.7529972,126.4956023
B,1108105034,"경기도 여주시 대신면 여양로 1303, 1동 1(일부)층",2251.24,0,2251.24,물류시설법,"가구류, 방제용품류",37.3711353,127.6007664
B,1108105034,충청북도 진천군 이월면 밤디길 145,0,16234.6,16234.6,물류시설법,"냉동식품(만두,치킨,냉동밥 등)",36.9279989,127.4558094
B,1108105034,경기도 김포시 통진읍 서암고정로 163,1891.33,0,1891.33,물류시설법,택배,37.723958,126.5872118
B,1108105034,충청북도 옥천군 동이면 금강로 93,14876,0,14876,물류시설법,전기전자,36.2937098,127.6210872
B,1108105034,"경기도 오산시 수목원로88번길 33, 클라우드 M캠퍼스 오산 LOGIPOLIS 물류센터 (가수동)",0,7218.15,7218.15,물류시설법,"식품, 유제품",37.151469,127.0507657
B,1108105034,부산광역시 금정구 중앙대로 2389(두구동),2998.42,0,2998.42,물류시설법,택배물품(잡화),35.2914372,129.1110255
B,1108105034,"인천광역시 중구 서해대로210번길 6, CBRE IM ILC 물류센터 6층 (신흥동3가)",9435.12,0,9435.12,물류시설법,택배물품,37.4453524,126.6240793
B,1108105034,충청남도 공주시 의당면 의당길 264,1914.49,0,1914.49,물류시설법,택배,36.5275969,127.1298244
B,1108105034,"경기도 남양주시 진건읍 독정로성지2길 36, 1층",1753,0,1753,물류시설법,택배물품,37.6824535,127.1924206
