상호명,사업자번호,소재지,일반창고면적(m²),냉동냉장창고면적(m²),관련법률,취급품목,위도,경도
B,1108105034,경기도 김포시 통진읍 서암고정로 163,1891.33,0,물류시설법,택배,37.723958,126.5872118
B,1108105034,충청북도 옥천군 동이면 금강로 93,14876,0,물류시설법,전기전자,36.2937098,127.6210872
B,1108105034,"경기도 오산시 수목원로88번길 33, 클라우드 M캠퍼스 오산 LOGIPOLIS 물류센터 (가수동)",0,7218.15,물류시설법,"식품, 유제품",37.151469,127.0507657
B,1108105034,부산광역시 금정구 중앙대로 2389(두구동),2998.42,0,물류시설법,택배물품(잡화),35.2914372,129.1110255
B,1108105034,"인천광역시 중구 서해대로210번길 6, CBRE IM ILC 물류센터 6층 (신흥동3가)",9435.12,0,물류시설법,택배물품,37.4453524,126.6240793
B,1108105034,충청남도 공주시 의당면 의당길 264,1914.49,0,물류시설법,택배,36.5275969,127.1298244
B,1108105034,"경기도 남양주시 진건읍 독정로성지2길 36, 1층",1753,0,물류시설법,택배물품,37.6824535,127.1924206
B,1108105034,"경기도 고양시 덕양구 삼막3길 10, 지하1층,지상1층 (오금동)",16159,0,물류시설법,택배물품,37.6660379,126.9109039
B,1108105034,세종특별자치시 부강면 부강외천로 298,2722.32,0,물류시설법,사첨(사료),36.5287494,127.3997345
B,1108105034,"경기도 고양시 덕양구 삼막3길 10, 고양삼송로지스힐 지하2층 (오금동)",8727,0,물류시설법,택배품목다수,37.6660379,126.9109039
B,1108105034,"경기도 고양시 덕양구 삼막3길 10, 고양삼송로지스힐 5층 (오금동)",5281,0,물류시설법,택배물품,37.6660379,126.9109039
B,1108105034,경기도 이천시 설성면 경충대로 871,26543.97,0,물류시설법,건강기능식품 등,37.1731037,127.5660544
B,1108105034,부산광역시 강서구 미음국제2로 59(미음동),27953.7,3305.8,물류시설법,원두 집기류,35.1481352,128.8696642
B,1108105034,강원특별자치도 춘천시 후석로440번길 43(후평동),1674,0,물류시설법,택배물품,37.88957,127.7478909
B,1108105034,경기도 남양주시 진접읍 장현로 27,2687.74,0,물류시설법,택배화물,37.7190641,127.1840593
B,1108105034,"인천광역시 서구 갑문1로 10, 은산해운항공(주) (오류동)",4727.2,0,물류시설법,CVS물류(가공품),37.5641282,126.6047469
B,1108105034,경상남도 창원시 마산합포구 가포신항남로 34(가포동),2391.83,0,물류시설법,택배,35.1639201,128.5779525
B,1108105034,"부산광역시 기장군 장안읍 반룡산단로 102, 씨제이대한통운(주)동부산지점",1829,0,물류시설법,택배물품(잡화),35.3325318,129.2499062
B,1108105034,경기도 용인시 처인구 양지면 양지로 271,3947.06,0,물류시설법,상온일반제품,37.2386357,127.2968622
B,1108105034,"부산광역시 강서구 미음국제4로 28, CJ대한통운(주) 1동 (미음동)",2397.63,0,물류시설법,택배물품(잡화),35.1444463,128.8695583
B,1108105034,"경기도 군포시 번영로 82, 한국복합물류(주) P동 (부곡동)",0,3051.2,물류시설법,침구류,37.3309195,126.9371945
B,1108105034,경기도 포천시 군내면 용정경제로1길 83,5217.07,1693.36,물류시설법,식품포장완제품,37.8775085,127.2056068
B,1108105034,"경기도 군포시 번영로 82, 한국복합물류(주) A동 4층 (부곡동)",2128.93,0,물류시설법,이불 침구류,37.3309195,126.9371945
B,1108105034,경기도 고양시 덕양구 동헌로 337(대자동),5647,0,물류시설법,택배,37.709774,126.8914048
B,1108105034,"전북특별자치도 완주군 봉동읍 완주산단2로 282-10, (유)진로지스틱",8412.04,0,물류시설법,의약품 등,35.9595656,127.1308319
B,1108105034,"경기도 군포시 번영로 82, 한국복합물류(주) A동 5층 (부곡동)",2128.93,0,물류시설법,화장품,37.3309195,126.9371945
B,1108105034,전라남도 순천시 서면 신촌2길 2-8,3332.78,0,물류시설법,택배상품,35.0316678,127.4409254
B,1108105034,경기도 여주시 대신면 대신로 8-3,37750.82,0,물류시설법,"건강기능식품, 생황용품",37.3435,127.6415705
B,1108105034,"경기도 군포시 번영로 82, 한국복합물류(주) E동 (부곡동)",38400,0,물류시설법,"건강기능식품, 생활용품",37.3309195,126.9371945
B,1108105034,"경기도 군포시 번영로 82, 한국복합물류(주) B, I, J, Q동 (부곡동)",59050,0,물류시설법,의류,37.3309195,126.9371945
B,1108105034,경기도 양주시 은현면 은현로312번길 303,2386.46,0,물류시설법,택배상품,37.8969855,127.0327032
B,1108105034,"경기도 용인시 처인구 남사읍 당하로 121, 5층",13642.59,0,물류시설법,"건강기능식품, 생활용품 등",37.1440677,127.1543094
B,1108105034,"경기도 군포시 번영로 82, 한국복합물류(주) A-2-1동 A-2-2동 4층 (부곡동)",3927.27,0,물류시설법,전기전자,37.3309195,126.9371945
